序號,答案
20240123104001,38.01
20240123105001,38.01
20240123110001,38.01
20240123111001,38.01
20240123112001,38.01
20240123113001,38.01
20240123114001,38.01
20240123115001,38.01
20240123120001,38.01
20240123121001,38.01
20240123122001,38.01
20240123123001,38.01
20240123124001,38.01
20240123125001,38.01
20240123130001,38.01
20240123131001,5.94
20240123132001,5.94
20240123133001,5.94
20240123134001,5.94
20240123135001,5.94
20240123140001,5.94
20240123141001,5.94
20240123142001,5.94
20240123143001,5.94
20240123144001,5.94
20240123145001,5.94
20240123150001,5.94
20240123151001,5.94
20240123152001,5.94
20240123153001,5.94
20240123154001,5.94
20240123155001,5.94
20240123160001,5.94
20240123161001,5.94
20240123162001,5.94
20240123163001,5.94
20240123164001,5.94
20240123165001,5.94
20240127090001,61.80
20240127091001,61.80
20240127092001,61.80
20240127093001,61.80
20240127094001,61.80
20240127095001,61.80
20240127100001,61.80
20240127101001,61.80
20240127102001,61.80
20240127103001,61.80
20240127104001,61.80
20240127105001,61.80
20240127110001,61.80
20240127111001,61.80
20240127112001,61.80
20240127113001,61.80
20240127114001,61.80
20240127115001,61.80
20240127120001,61.80
20240127121001,61.80
20240127122001,61.80
20240127123001,61.80
20240127124001,61.80
20240127125001,61.80
20240127130001,6.56
20240127131001,6.56
20240127132001,6.56
20240127133001,6.56
20240127134001,6.56
20240127135001,6.56
20240127140001,6.56
20240127141001,6.56
20240127142001,6.56
20240127143001,6.56
20240127144001,6.56
20240127145001,6.56
20240127150001,6.56
20240127151001,6.56
20240127152001,6.56
20240127153001,6.56
20240127154001,6.56
20240127155001,6.56
20240127160001,6.56
20240127161001,6.56
20240127162001,6.56
20240127163001,6.56
20240127164001,6.56
20240127165001,6.56
20240128090001,5.90
20240128091001,5.90
20240128092001,5.90
20240128093001,5.90
20240128094001,5.90
20240128095001,5.90
20240128100001,5.90
20240128101001,5.90
20240128102001,5.90
20240128103001,5.90
20240128104001,5.90
20240128105001,5.90
20240128110001,5.90
20240128111001,5.90
20240128112001,5.90
20240128113001,5.90
20240128114001,5.90
20240128115001,5.90
20240128120001,5.90
20240128121001,5.90
20240128122001,5.90
20240128123001,5.90
20240128124001,5.90
20240128125001,5.90
20240128130001,3.09
20240128131001,3.09
20240128132001,3.09
20240128133001,3.09
20240128134001,3.09
20240128135001,3.09
20240128140001,3.09
20240128141001,3.09
20240128142001,3.09
20240128143001,3.09
20240128144001,3.09
20240128145001,3.09
20240128150001,3.09
20240128151001,3.09
20240128152001,3.09
20240128153001,3.09
20240128154001,3.09
20240128155001,3.09
20240128160001,3.09
20240128161001,3.09
20240128162001,3.09
20240128163001,3.09
20240128164001,3.09
20240128165001,3.09
20240203090001,183.44
20240203091001,183.44
20240203092001,183.44
20240203093001,183.44
20240203094001,183.44
20240203095001,183.44
20240203100001,183.44
20240203101001,183.44
20240203102001,183.44
20240203103001,183.44
20240203104001,183.44
20240203105001,183.44
20240203110001,183.44
20240203111001,183.44
20240203112001,183.44
20240203113001,183.44
20240203114001,183.44
20240203115001,183.44
20240203120001,183.44
20240203121001,183.44
20240203122001,183.44
20240203123001,183.44
20240203124001,183.44
20240203125001,183.44
20240203130001,2.25
20240203131001,2.25
20240203132001,2.25
20240203133001,2.25
20240203134001,2.25
20240203135001,2.25
20240203140001,2.25
20240203141001,2.25
20240203142001,2.25
20240203143001,2.25
20240203144001,2.25
20240203145001,2.25
20240203150001,2.25
20240203151001,2.25
20240203152001,2.25
20240203153001,2.25
20240203154001,2.25
20240203155001,2.25
20240203160001,2.25
20240203161001,2.25
20240203162001,2.25
20240203163001,2.25
20240203164001,2.25
20240203165001,2.25
20240204090001,74.81
20240204091001,74.81
20240204092001,74.81
20240204093001,74.81
20240204094001,74.81
20240204095001,74.81
20240204100001,74.81
20240204101001,74.81
20240204102001,74.81
20240204103001,74.81
20240204104001,74.81
20240204105001,74.81
20240204110001,74.81
20240204111001,74.81
20240204112001,74.81
20240204113001,74.81
20240204114001,74.81
20240204115001,74.81
20240204120001,74.81
20240204121001,74.81
20240204122001,74.81
20240204123001,74.81
20240204124001,74.81
20240204125001,74.81
20240204130001,15.21
20240204131001,15.21
20240204132001,15.21
20240204133001,15.21
20240204134001,15.21
20240204135001,15.21
20240204140001,15.21
20240204141001,15.21
20240204142001,15.21
20240204143001,15.21
20240204144001,15.21
20240204145001,15.21
20240204150001,15.21
20240204151001,15.21
20240204152001,15.21
20240204153001,15.21
20240204154001,15.21
20240204155001,15.21
20240204160001,15.21
20240204161001,15.21
20240204162001,15.21
20240204163001,15.21
20240204164001,15.21
20240204165001,15.21
20240209090001,16.82
20240209091001,16.82
20240209092001,16.82
20240209093001,16.82
20240209094001,16.82
20240209095001,16.82
20240209100001,16.82
20240209101001,16.82
20240209102001,16.82
20240209103001,16.82
20240209104001,16.82
20240209105001,16.82
20240209110001,16.82
20240209111001,16.82
20240209112001,16.82
20240209113001,16.82
20240209114001,16.82
20240209115001,16.82
20240209120001,16.82
20240209121001,16.82
20240209122001,16.82
20240209123001,16.82
20240209124001,16.82
20240209125001,16.82
20240209130001,3.88
20240209131001,3.88
20240209132001,3.88
20240209133001,3.88
20240209134001,3.88
20240209135001,3.88
20240209140001,3.88
20240209141001,3.88
20240209142001,3.88
20240209143001,3.88
20240209144001,3.88
20240209145001,3.88
20240209150001,3.88
20240209151001,3.88
20240209152001,3.88
20240209153001,3.88
20240209154001,3.88
20240209155001,3.88
20240209160001,3.88
20240209161001,3.88
20240209162001,3.88
20240209163001,3.88
20240209164001,3.88
20240209165001,3.88
20240210090001,4.58
20240210091001,4.58
20240210092001,4.58
20240210093001,4.58
20240210094001,4.58
20240210095001,4.58
20240210100001,4.58
20240210101001,4.58
20240210102001,4.58
20240210103001,4.58
20240210104001,4.58
20240210105001,4.58
20240210110001,4.58
20240210111001,4.58
20240210112001,4.58
20240210113001,4.58
20240210114001,4.58
20240210115001,4.58
20240210120001,4.58
20240210121001,4.58
20240210122001,4.58
20240210123001,4.58
20240210124001,4.58
20240210125001,4.58
20240210130001,4.58
20240210131001,2.74
20240210132001,2.74
20240210133001,2.74
20240210134001,2.74
20240210135001,2.74
20240210140001,2.74
20240210141001,2.74
20240210142001,2.74
20240210143001,2.74
20240210144001,2.74
20240210145001,2.74
20240210150001,2.74
20240210151001,2.74
20240210152001,2.74
20240210153001,2.74
20240210154001,2.74
20240210155001,2.74
20240210160001,2.74
20240210161001,2.74
20240210162001,2.74
20240210163001,2.74
20240210164001,2.74
20240210165001,2.74
20240214090001,1262.97
20240214091001,1262.97
20240214092001,1262.97
20240214093001,1262.97
20240214094001,1262.97
20240214095001,1262.97
20240214100001,1262.97
20240214101001,1262.97
20240214102001,1262.97
20240214103001,1262.97
20240214104001,1262.97
20240214105001,1262.97
20240214110001,1262.97
20240214111001,1262.97
20240214112001,1262.97
20240214113001,1262.97
20240214114001,1262.97
20240214115001,1262.97
20240214120001,1262.97
20240214121001,1262.97
20240214122001,1262.97
20240214123001,1262.97
20240214124001,1262.97
20240214125001,1262.97
20240214130001,6.87
20240214131001,6.87
20240214132001,6.87
20240214133001,6.87
20240214134001,6.87
20240214135001,6.87
20240214140001,6.87
20240214141001,6.87
20240214142001,6.87
20240214143001,6.87
20240214144001,6.87
20240214145001,6.87
20240214150001,6.87
20240214151001,6.87
20240214152001,6.87
20240214153001,6.87
20240214154001,6.87
20240214155001,6.87
20240214160001,6.87
20240214161001,6.87
20240214162001,6.87
20240214163001,6.87
20240214164001,6.87
20240214165001,6.87
20240216090001,8.65
20240216091001,8.65
20240216092001,8.65
20240216093001,8.65
20240216094001,8.65
20240216095001,8.65
20240216100001,8.65
20240216101001,8.65
20240216102001,8.65
20240216103001,8.65
20240216104001,8.65
20240216105001,8.65
20240216110001,8.65
20240216111001,8.65
20240216112001,8.65
20240216113001,8.65
20240216114001,8.65
20240216115001,8.65
20240216120001,8.65
20240216121001,8.65
20240216122001,8.65
20240216123001,8.65
20240216124001,8.65
20240216125001,8.65
20240216130001,4.22
20240216131001,4.22
20240216132001,4.22
20240216133001,4.22
20240216134001,4.22
20240216135001,4.22
20240216140001,4.22
20240216141001,4.22
20240216142001,4.22
20240216143001,4.22
20240216144001,4.22
20240216145001,4.22
20240216150001,4.22
20240216151001,4.22
20240216152001,4.22
20240216153001,4.22
20240216154001,4.22
20240216155001,4.22
20240216160001,4.22
20240216161001,4.22
20240216162001,4.22
20240216163001,4.22
20240216164001,4.22
20240216165001,4.22
20240217090001,1643.41
20240217091001,1643.41
20240217092001,1643.41
20240217093001,1643.41
20240217094001,1643.41
20240217095001,1643.41
20240217100001,1643.41
20240217101001,1643.41
20240217102001,1643.41
20240217103001,1643.41
20240217104001,1643.41
20240217105001,1643.41
20240217110001,1643.41
20240217111001,1643.41
20240217112001,1643.41
20240217113001,1643.41
20240217114001,1643.41
20240217115001,1643.41
20240217120001,1643.41
20240217121001,1643.41
20240217122001,1643.41
20240217123001,1643.41
20240217124001,1643.41
20240217125001,1643.41
20240217130001,4.85
20240217131001,4.85
20240217132001,4.85
20240217133001,4.85
20240217134001,4.85
20240217135001,4.85
20240217140001,4.85
20240217141001,4.85
20240217142001,4.85
20240217143001,4.85
20240217144001,4.85
20240217145001,4.85
20240217150001,4.85
20240217151001,4.85
20240217152001,4.85
20240217153001,4.85
20240217154001,4.85
20240217155001,4.85
20240217160001,4.85
20240217161001,4.85
20240217162001,4.85
20240217163001,4.85
20240217164001,4.85
20240217165001,4.85
20240217090002,717.70
20240217091002,717.70
20240217092002,717.70
20240217093002,717.70
20240217094002,717.70
20240217095002,717.70
20240217100002,717.70
20240217101002,717.70
20240217102002,717.70
20240217103002,717.70
20240217104002,717.70
20240217105002,717.70
20240217110002,717.70
20240217111002,717.70
20240217112002,717.70
20240217113002,717.70
20240217114002,717.70
20240217115002,717.70
20240217120002,717.70
20240217121002,717.70
20240217122002,717.70
20240217123002,717.70
20240217124002,717.70
20240217125002,717.70
20240217130002,3.96
20240217131002,3.96
20240217132002,3.96
20240217133002,3.96
20240217134002,3.96
20240217135002,3.96
20240217140002,3.96
20240217141002,3.96
20240217142002,3.96
20240217143002,3.96
20240217144002,3.96
20240217145002,3.96
20240217150002,3.96
20240217151002,3.96
20240217152002,3.96
20240217153002,3.96
20240217154002,3.96
20240217155002,3.96
20240217160002,3.96
20240217161002,3.96
20240217162002,3.96
20240217163002,3.96
20240217164002,3.96
20240217165002,3.96
20240228090002,1188.93
20240228091002,1188.93
20240228092002,1188.93
20240228093002,1188.93
20240228094002,1188.93
20240228095002,1188.93
20240228100002,1188.93
20240228101002,1188.93
20240228102002,1188.93
20240228103002,1188.93
20240228104002,1188.93
20240228105002,1188.93
20240228110002,1188.93
20240228111002,1188.93
20240228112002,1188.93
20240228113002,1188.93
20240228114002,1188.93
20240228115002,1188.93
20240228120002,1188.93
20240228121002,1188.93
20240228122002,1188.93
20240228123002,1188.93
20240228124002,1188.93
20240228125002,1188.93
20240228130002,0.00
20240228131002,0.00
20240228132002,0.00
20240228133002,0.00
20240228134002,0.00
20240228135002,0.00
20240228140002,0.00
20240228141002,0.00
20240228142002,0.00
20240228143002,0.00
20240228144002,0.00
20240228145002,0.00
20240228150002,0.00
20240228151002,0.00
20240228152002,0.00
20240228153002,0.00
20240228154002,0.00
20240228155002,0.00
20240228160002,0.00
20240228161002,0.00
20240228162002,0.00
20240228163002,0.00
20240228164002,0.00
20240228165002,0.00
20240304090002,1108.25
20240304091002,1108.25
20240304092002,1108.25
20240304093002,1108.25
20240304094002,1108.25
20240304095002,1108.25
20240304100002,1108.25
20240304101002,1108.25
20240304102002,1108.25
20240304103002,1108.25
20240304104002,1108.25
20240304105002,1108.25
20240304110002,1108.25
20240304111002,1108.25
20240304112002,1108.25
20240304113002,1108.25
20240304114002,1108.25
20240304115002,1108.25
20240304120002,1108.25
20240304121002,1108.25
20240304122002,1108.25
20240304123002,1108.25
20240304124002,1108.25
20240304125002,1108.25
20240304130002,8.68
20240304131002,8.68
20240304132002,8.68
20240304133002,8.68
20240304134002,8.68
20240304135002,8.68
20240304140002,8.68
20240304141002,8.68
20240304142002,8.68
20240304143002,8.68
20240304144002,8.68
20240304145002,8.68
20240304150002,8.68
20240304151002,8.68
20240304152002,8.68
20240304153002,8.68
20240304154002,8.68
20240304155002,8.68
20240304160002,8.68
20240304161002,8.68
20240304162002,8.68
20240304163002,8.68
20240304164002,8.68
20240304165002,8.68
20240316090002,1068.93
20240316091002,1068.93
20240316092002,1068.93
20240316093002,1068.93
20240316094002,1068.93
20240316095002,1068.93
20240316100002,1068.93
20240316101002,1068.93
20240316102002,1068.93
20240316103002,1068.93
20240316104002,1068.93
20240316105002,1068.93
20240316110002,1068.93
20240316111002,1068.93
20240316112002,1068.93
20240316113002,1068.93
20240316114002,1068.93
20240316115002,1068.93
20240316120002,1068.93
20240316121002,1068.93
20240316122002,1068.93
20240316123002,1068.93
20240316124002,1068.93
20240316125002,1068.93
20240316130002,1068.93
20240316131002,5.41
20240316132002,5.41
20240316133002,5.41
20240316134002,5.41
20240316135002,5.41
20240316140002,5.41
20240316141002,5.41
20240316142002,5.41
20240316143002,5.41
20240316144002,5.41
20240316145002,5.41
20240316150002,5.41
20240316151002,5.41
20240316152002,5.41
20240316153002,5.41
20240316154002,5.41
20240316155002,5.41
20240316160002,5.41
20240316161002,5.41
20240316162002,5.41
20240316163002,5.41
20240316164002,5.41
20240316165002,5.41
20240317090002,1086.09
20240317091002,1086.09
20240317092002,1086.09
20240317093002,1086.09
20240317094002,1086.09
20240317095002,1086.09
20240317100002,1086.09
20240317101002,1086.09
20240317102002,1086.09
20240317103002,1086.09
20240317104002,1086.09
20240317105002,1086.09
20240317110002,1086.09
20240317111002,1086.09
20240317112002,1086.09
20240317113002,1086.09
20240317114002,1086.09
20240317115002,1086.09
20240317120002,1086.09
20240317121002,1086.09
20240317122002,1086.09
20240317123002,1086.09
20240317124002,1086.09
20240317125002,1086.09
20240317130002,1086.09
20240317131002,3.90
20240317132002,3.90
20240317133002,3.90
20240317134002,3.90
20240317135002,3.90
20240317140002,3.90
20240317141002,3.90
20240317142002,3.90
20240317143002,3.90
20240317144002,3.90
20240317145002,3.90
20240317150002,3.90
20240317151002,3.90
20240317152002,3.90
20240317153002,3.90
20240317154002,3.90
20240317155002,3.90
20240317160002,3.90
20240317161002,3.90
20240317162002,3.90
20240317163002,3.90
20240317164002,3.90
20240317165002,3.90
20240326090002,1108.38
20240326091002,1108.38
20240326092002,1108.38
20240326093002,1108.38
20240326094002,1108.38
20240326095002,1108.38
20240326100002,1108.38
20240326101002,1108.38
20240326102002,1108.38
20240326103002,1108.38
20240326104002,1108.38
20240326105002,1108.38
20240326110002,1108.38
20240326111002,1108.38
20240326112002,1108.38
20240326113002,1108.38
20240326114002,1108.38
20240326115002,1108.38
20240326120002,1108.38
20240326121002,1108.38
20240326122002,1108.38
20240326123002,1108.38
20240326124002,1108.38
20240326125002,1108.38
20240326130002,1108.38
20240326131002,0.00
20240326132002,0.00
20240326133002,0.00
20240326134002,0.00
20240326135002,0.00
20240326140002,0.00
20240326141002,0.00
20240326142002,0.00
20240326143002,0.00
20240326144002,0.00
20240326145002,0.00
20240326150002,0.00
20240326151002,0.00
20240326152002,0.00
20240326153002,0.00
20240326154002,0.00
20240326155002,0.00
20240326160002,0.00
20240326161002,0.00
20240326162002,0.00
20240326163002,0.00
20240326164002,0.00
20240326165002,0.00
20240331090002,1237.41
20240331091002,1237.41
20240331092002,1237.41
20240331093002,1237.41
20240331094002,1237.41
20240331095002,1237.41
20240331100002,1237.41
20240331101002,1237.41
20240331102002,1237.41
20240331103002,1237.41
20240331104002,1237.41
20240331105002,1237.41
20240331110002,1237.41
20240331111002,1237.41
20240331112002,1237.41
20240331113002,1237.41
20240331114002,1237.41
20240331115002,1237.41
20240331120002,1237.41
20240331121002,1237.41
20240331122002,1237.41
20240331123002,1237.41
20240331124002,1237.41
20240331125002,1237.41
20240331130002,6.62
20240331131002,6.62
20240331132002,6.62
20240331133002,6.62
20240331134002,6.62
20240331135002,6.62
20240331140002,6.62
20240331141002,6.62
20240331142002,6.62
20240331143002,6.62
20240331144002,6.62
20240331145002,6.62
20240331150002,6.62
20240331151002,6.62
20240331152002,6.62
20240331153002,6.62
20240331154002,6.62
20240331155002,6.62
20240331160002,6.62
20240331161002,6.62
20240331162002,6.62
20240331163002,6.62
20240331164002,6.62
20240331165002,6.62
20240402090002,1196.54
20240402091002,1196.54
20240402092002,1196.54
20240402093002,1196.54
20240402094002,1196.54
20240402095002,1196.54
20240402100002,1196.54
20240402101002,1196.54
20240402102002,1196.54
20240402103002,1196.54
20240402104002,1196.54
20240402105002,1196.54
20240402110002,1196.54
20240402111002,1196.54
20240402112002,1196.54
20240402113002,1196.54
20240402114002,1196.54
20240402115002,1196.54
20240402120002,1196.54
20240402121002,1196.54
20240402122002,1196.54
20240402123002,1196.54
20240402124002,1196.54
20240402125002,1196.54
20240402130002,17.62
20240402131002,17.62
20240402132002,17.62
20240402133002,17.62
20240402134002,17.62
20240402135002,17.62
20240402140002,17.62
20240402141002,17.62
20240402142002,17.62
20240402143002,17.62
20240402144002,17.62
20240402145002,17.62
20240402150002,17.62
20240402151002,17.62
20240402152002,17.62
20240402153002,17.62
20240402154002,17.62
20240402155002,17.62
20240402160002,17.62
20240402161002,17.62
20240402162002,17.62
20240402163002,17.62
20240402164002,17.62
20240402165002,17.62
20240428090002,223.44
20240428091002,223.44
20240428092002,223.44
20240428093002,223.44
20240428094002,223.44
20240428095002,223.44
20240428100002,223.44
20240428101002,223.44
20240428102002,223.44
20240428103002,223.44
20240428104002,223.44
20240428105002,223.44
20240428110002,223.44
20240428111002,223.44
20240428112002,223.44
20240428113002,223.44
20240428114002,223.44
20240428115002,223.44
20240428120002,223.44
20240428121002,223.44
20240428122002,223.44
20240428123002,223.44
20240428124002,223.44
20240428125002,223.44
20240428130002,223.44
20240428131002,33.97
20240428132002,33.97
20240428133002,33.97
20240428134002,33.97
20240428135002,33.97
20240428140002,33.97
20240428141002,33.97
20240428142002,33.97
20240428143002,33.97
20240428144002,33.97
20240428145002,33.97
20240428150002,33.97
20240428151002,33.97
20240428152002,33.97
20240428153002,33.97
20240428154002,33.97
20240428155002,33.97
20240428160002,33.97
20240428161002,33.97
20240428162002,33.97
20240428163002,33.97
20240428164002,33.97
20240428165002,33.97
20240430090002,927.00
20240430091002,927.00
20240430092002,927.00
20240430093002,927.00
20240430094002,927.00
20240430095002,927.00
20240430100002,927.00
20240430101002,927.00
20240430102002,927.00
20240430103002,927.00
20240430104002,927.00
20240430105002,927.00
20240430110002,927.00
20240430111002,927.00
20240430112002,927.00
20240430113002,927.00
20240430114002,927.00
20240430115002,927.00
20240430120002,927.00
20240430121002,927.00
20240430122002,927.00
20240430123002,927.00
20240430124002,927.00
20240430125002,927.00
20240430130002,18.01
20240430131002,18.01
20240430132002,18.01
20240430133002,18.01
20240430134002,18.01
20240430135002,18.01
20240430140002,18.01
20240430141002,18.01
20240430142002,18.01
20240430143002,18.01
20240430144002,18.01
20240430145002,18.01
20240430150002,18.01
20240430151002,18.01
20240430152002,18.01
20240430153002,18.01
20240430154002,18.01
20240430155002,18.01
20240430160002,18.01
20240430161002,18.01
20240430162002,18.01
20240430163002,18.01
20240430164002,18.01
20240430165002,18.01
20240708090002,637.62
20240708091002,637.62
20240708092002,637.62
20240708093002,637.62
20240708094002,637.62
20240708095002,637.62
20240708100002,637.62
20240708101002,637.62
20240708102002,637.62
20240708103002,637.62
20240708104002,637.62
20240708105002,637.62
20240708110002,637.62
20240708111002,637.62
20240708112002,637.62
20240708113002,637.62
20240708114002,637.62
20240708115002,637.62
20240708120002,637.62
20240708121002,637.62
20240708122002,637.62
20240708123002,637.62
20240708124002,637.62
20240708125002,637.62
20240708130002,6.39
20240708131002,6.39
20240708132002,6.39
20240708133002,6.39
20240708134002,6.39
20240708135002,6.39
20240708140002,6.39
20240708141002,6.39
20240708142002,6.39
20240708143002,6.39
20240708144002,6.39
20240708145002,6.39
20240708150002,6.39
20240708151002,6.39
20240708152002,6.39
20240708153002,6.39
20240708154002,6.39
20240708155002,6.39
20240708160002,6.39
20240708161002,6.39
20240708162002,6.39
20240708163002,6.39
20240708164002,6.39
20240708165002,6.39
20240716090002,644.25
20240716091002,644.25
20240716092002,644.25
20240716093002,644.25
20240716094002,644.25
20240716095002,644.25
20240716100002,644.25
20240716101002,644.25
20240716102002,644.25
20240716103002,644.25
20240716104002,644.25
20240716105002,644.25
20240716110002,644.25
20240716111002,644.25
20240716112002,644.25
20240716113002,644.25
20240716114002,644.25
20240716115002,644.25
20240716120002,644.25
20240716121002,644.25
20240716122002,644.25
20240716123002,644.25
20240716124002,644.25
20240716125002,644.25
20240716130002,40.52
20240716131002,40.52
20240716132002,40.52
20240716133002,40.52
20240716134002,40.52
20240716135002,40.52
20240716140002,40.52
20240716141002,40.52
20240716142002,40.52
20240716143002,40.52
20240716144002,40.52
20240716145002,40.52
20240716150002,40.52
20240716151002,40.52
20240716152002,40.52
20240716153002,40.52
20240716154002,40.52
20240716155002,40.52
20240716160002,40.52
20240716161002,40.52
20240716162002,40.52
20240716163002,40.52
20240716164002,40.52
20240716165002,40.52
20240314090003,16.78
20240314091003,16.78
20240314092003,16.78
20240314093003,16.78
20240314094003,16.78
20240314095003,16.78
20240314100003,16.78
20240314101003,16.78
20240314102003,16.78
20240314103003,16.78
20240314104003,16.78
20240314105003,16.78
20240314110003,16.78
20240314111003,16.78
20240314112003,16.78
20240314113003,16.78
20240314114003,16.78
20240314115003,16.78
20240314120003,16.78
20240314121003,16.78
20240314122003,16.78
20240314123003,16.78
20240314124003,16.78
20240314125003,16.78
20240314130003,15.16
20240314131003,15.16
20240314132003,15.16
20240314133003,15.16
20240314134003,15.16
20240314135003,15.16
20240314140003,15.16
20240314141003,15.16
20240314142003,15.16
20240314143003,15.16
20240314144003,15.16
20240314145003,15.16
20240314150003,15.16
20240314151003,15.16
20240314152003,15.16
20240314153003,15.16
20240314154003,15.16
20240314155003,15.16
20240314160003,15.16
20240314161003,15.16
20240314162003,15.16
20240314163003,15.16
20240314164003,15.16
20240314165003,15.16
20240320090003,119.18
20240320091003,119.18
20240320092003,119.18
20240320093003,119.18
20240320094003,119.18
20240320095003,119.18
20240320100003,119.18
20240320101003,119.18
20240320102003,119.18
20240320103003,119.18
20240320104003,119.18
20240320105003,119.18
20240320110003,119.18
20240320111003,119.18
20240320112003,119.18
20240320113003,119.18
20240320114003,119.18
20240320115003,119.18
20240320120003,119.18
20240320121003,119.18
20240320122003,119.18
20240320123003,119.18
20240320124003,119.18
20240320125003,119.18
20240320130003,4.65
20240320131003,4.65
20240320132003,4.65
20240320133003,4.65
20240320134003,4.65
20240320135003,4.65
20240320140003,4.65
20240320141003,4.65
20240320142003,4.65
20240320143003,4.65
20240320144003,4.65
20240320145003,4.65
20240320150003,4.65
20240320151003,4.65
20240320152003,4.65
20240320153003,4.65
20240320154003,4.65
20240320155003,4.65
20240320160003,4.65
20240320161003,4.65
20240320162003,4.65
20240320163003,4.65
20240320164003,4.65
20240320165003,4.65
20240321090003,1227.36
20240321091003,1227.36
20240321092003,1227.36
20240321093003,1227.36
20240321094003,1227.36
20240321095003,1227.36
20240321100003,1227.36
20240321101003,1227.36
20240321102003,1227.36
20240321103003,1227.36
20240321104003,1227.36
20240321105003,1227.36
20240321110003,1227.36
20240321111003,1227.36
20240321112003,1227.36
20240321113003,1227.36
20240321114003,1227.36
20240321115003,1227.36
20240321120003,1227.36
20240321121003,1227.36
20240321122003,1227.36
20240321123003,1227.36
20240321124003,1227.36
20240321125003,1227.36
20240321130003,3.70
20240321131003,3.70
20240321132003,3.70
20240321133003,3.70
20240321134003,3.70
20240321135003,3.70
20240321140003,3.70
20240321141003,3.70
20240321142003,3.70
20240321143003,3.70
20240321144003,3.70
20240321145003,3.70
20240321150003,3.70
20240321151003,3.70
20240321152003,3.70
20240321153003,3.70
20240321154003,3.70
20240321155003,3.70
20240321160003,3.70
20240321161003,3.70
20240321162003,3.70
20240321163003,3.70
20240321164003,3.70
20240321165003,3.70
20240324090003,1392.94
20240324091003,1392.94
20240324092003,1392.94
20240324093003,1392.94
20240324094003,1392.94
20240324095003,1392.94
20240324100003,1392.94
20240324101003,1392.94
20240324102003,1392.94
20240324103003,1392.94
20240324104003,1392.94
20240324105003,1392.94
20240324110003,1392.94
20240324111003,1392.94
20240324112003,1392.94
20240324113003,1392.94
20240324114003,1392.94
20240324115003,1392.94
20240324120003,1392.94
20240324121003,1392.94
20240324122003,1392.94
20240324123003,1392.94
20240324124003,1392.94
20240324125003,1392.94
20240324130003,29.23
20240324131003,29.23
20240324132003,29.23
20240324133003,29.23
20240324134003,29.23
20240324135003,29.23
20240324140003,29.23
20240324141003,29.23
20240324142003,29.23
20240324143003,29.23
20240324144003,29.23
20240324145003,29.23
20240324150003,29.23
20240324151003,29.23
20240324152003,29.23
20240324153003,29.23
20240324154003,29.23
20240324155003,29.23
20240324160003,29.23
20240324161003,29.23
20240324162003,29.23
20240324163003,29.23
20240324164003,29.23
20240324165003,29.23
20240331090003,427.47
20240331091003,427.47
20240331092003,427.47
20240331093003,427.47
20240331094003,427.47
20240331095003,427.47
20240331100003,427.47
20240331101003,427.47
20240331102003,427.47
20240331103003,427.47
20240331104003,427.47
20240331105003,427.47
20240331110003,427.47
20240331111003,427.47
20240331112003,427.47
20240331113003,427.47
20240331114003,427.47
20240331115003,427.47
20240331120003,427.47
20240331121003,427.47
20240331122003,427.47
20240331123003,427.47
20240331124003,427.47
20240331125003,427.47
20240331130003,427.47
20240331131003,68.69
20240331132003,68.69
20240331133003,68.69
